💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: DM sent to <@824616344514330684>. | Time: 2025-05-27 17:32:08.211197
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User:  | Time: 2025-05-27 17:32:08.211197
💬 Message from cenn_elly in trainee-info: <@&1300167248895414278>, if you got a message from the bot please respond to me or rp_man dms or <#1314804623990591498> | Time: 2025-05-27 17:32:08.211197
💬 Message from cenn_elly in trainiee-chat: <@521377228257492997> did we give you trainee role by mistake | Time: 2025-05-27 17:32:08.211197
💬 Message from cenn_elly in trainiee-chat: or did you actually want to be a taxi driver | Time: 2025-05-27 17:32:08.211197
💬 Message from cenn_elly in trainiee-chat: im confused | Time: 2025-05-27 17:32:08.211197
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: YOU WILL BUST IT DOWN RIGHT NOW | Time: 2025-05-27 18:51:54.747166
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: DM sent to <@711284441166774302>. | Time: 2025-05-27 18:51:54.747166
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: YOU WILL BUST IT DOWN RIGHT NOW | Time: 2025-05-27 18:51:54.747166
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: DM sent to <@923022962339217428>. | Time: 2025-05-27 18:51:54.747166
💬 Message from _tacticalblue in Direct Message with Unknown User: shut up | Time: 2025-05-27 18:51:54.747166
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: 💬 Message from _tacticalblue in Direct Message with Unknown User: shut up | Time: 2025-05-27 18:51:54.747166 | Time: 2025-05-27 18:51:54.747166
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: DM sent to <@923022962339217428>. | Time: 2025-05-27 18:51:54.747166
💬 Message from Chill Taxi#6274 in staff-announcements: <@&1300167248895414279>, inviting your friends in firestone will decrease your activity log for this week (like for an example activity log must be 30-45 mins, to increase activity inviting your friends will lower this to 15-30 mins or even none :Shrug: ) | Time: 2025-05-27 18:51:54.747166
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: Message successfully sent. | Time: 2025-05-27 18:51:54.747166
💬 Message from Chill Taxi#6274 in staff-announcements:  | Time: 2025-05-27 18:51:54.747166
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: Embed message successfully posted. | Time: 2025-05-27 18:51:54.747166
💬 Message from cenn_elly in staff-announcements: <@&1300167248895414279> ^^^ | Time: 2025-05-27 18:51:54.747166
💬 Message from Chill Taxi#6274 in chat:  | Time: 2025-05-27 19:17:42.706842
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: Embed message successfully posted. | Time: 2025-05-27 19:17:42.706842
💬 Message from Chill Taxi#6274 in chat:  | Time: 2025-05-27 19:18:15.981698
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: Embed message successfully posted. | Time: 2025-05-27 19:18:15.981698
💬 Message from Chill Taxi#6274 in trainiee-chat: Added <@949401991174582304> to the watchlist. Reason: 2/3 Warnings, Failure to Complete Course, One more warning will be a result in **Termination.** | Time: 2025-05-27 19:34:02.806546
